year,cpi_2002,cpi_deflator_2002,municipality,police_provider_2024,latest_census_pop,penult_census_pop,average_tax_rate,rateable_tax_base,rateable_tax_base_adj,rateable_tax_base_capita,rateable_tax_base_capita_adj,general_govt_exp,police_exp,fire_protection_exp,water_cost_exp,emergency_exp,other_protection_exp,transportation_exp,environ_health_exp,public_health_exp,environ_dev_exp,rec_and_culture_exp,debt_exp,transfers_exp,deficits_exp,total_exp,warrant_rev,uncond_grant_rev,other_govt_serv_rev,sale_of_serv_rev,own_source_rev,cond_transfer_rev,other_transfer_rev,biennial_surplus_rev,total_rev
2000,95.1,1.0515247108307046,Rivière-Verte,municipal,929,988,0.01168003500945182,24075784,25316281.808622506,25915.806243272335,27251.110665901513,75478.0,79894,37690,58582,0,1800,64786,21160,0,14440,15200,42236.0,26000,0,437266.0,281206,97122,34248,0,13844,0,0,10846,437266
2000,95.1,1.0515247108307046,Rogersville,PPSA,1336,1385,0.01383309296019969,36275546,38144633.017875925,27152.354790419162,28551.372019368206,165482.0,168700,81516,0,0,3800,161950,52000,0,19275,39703,87655.0,0,15189,795270.0,501803,167350,106215,1500,18402,0,0,0,795270
2000,95.1,1.0515247108307046,Rothesay,municipal,11325,1647,0.01110000029336978,493575032,519006342.7970558,43582.78428256071,45828.37463991663,720823.0,1067757,885188,75000,89618,37713,1428027,330067,0,354251,636989,577677.0,438890,0,6642000.0,5478683,495700,143894,129700,46848,145600,200000,1575,6642000
2000,95.1,1.0515247108307046,Sackville,MPSA,5393,5494,0.01375040148249257,321620500,338191903.25972664,59636.65863155943,62709.42022245997,523646.0,816507,148916,226000,8000,130897,1155933,287252,0,406140,489514,725912.0,375000,0,5293717.0,4422411,645487,96926,37800,69300,4250,0,17543,5293717
2000,95.1,1.0515247108307046,Saint Andrews,MPSA,1752,1652,0.01097700030340071,123592326,129960384.85804418,70543.56506849315,74178.30185961425,410400.0,229050,164862,45000,0,2000,310458,86300,0,29785,469135,308000.0,146000,0,2200990.0,1356673,157334,84444,199580,172500,4500,186554,39405,2200990
2000,95.1,1.0515247108307046,Saint George,PPSA,1414,1345,0.01229999134679092,64819883,68159708.72765511,45841.501414427155,48203.471518850856,180117.0,146000,85147,32500,3000,6100,230578,60000,28258,44500,61900,269650.0,814,0,1148564.0,797284,139582,45911,7000,157973,0,0,814,1148564
2000,95.1,1.0515247108307046,Saint John,municipal,72494,74969,0.01725000009934864,3560692965,3744156640.378549,49117.07127486412,51647.81416915261,7812504.0,15317462,14324778,2102344,1234074,981251,18428521,2559984,0,6857636,6299330,11971270.0,1125281,0,89014435.0,61421954,21245578,109000,2036323,2433527,500375,1133000,134678,89014435
2000,95.1,1.0515247108307046,Saint-André,municipal,438,4274,0.01184539939699953,13764500,14473711.882229233,31425.79908675799,33045.00429732702,86438.0,37668,69703,20000,0,0,32058,15530,0,6700,14700,14093.0,10000,0,306890.0,163046,38693,100159,0,3500,0,0,1492,306890
2000,95.1,1.0515247108307046,Saint-Antoine,PPSA,1453,1380,0.01174235380672493,43291150,45521713.98527866,29794.32209222299,31329.465922421652,113974.0,124958,73760,0,0,9258,208108,59050,0,20961,70286,71250.0,0,37023,788628.0,508340,139941,114997,3500,21850,0,0,0,788628
2000,95.1,1.0515247108307046,Saint-François-de-Madawaska,PPSA,631,661,0.01253011775405045,24910141,26193628.81177708,39477.244057052296,41511.29764148507,91473.0,64166,55375,45000,94400,0,69900,31900,0,20350,147395,35916.0,0,0,655875.0,312127,67221,106078,73780,650,94000,0,2019,655875
